trip_id,employee_id,program_office,travel_date,travel_purpose,expense_type,amount,mileage,total_mileage_cost
TR00317,EMP0023,FIN,2024-03-01,Asset Movement,Air Transportation,238.35,,
TR00318,EMP0085,FIN,2024-02-24,Asset Management,Mileage,351.28,524.3,351.28
TR00319,EMP0046,OPS,2024-04-07,Asset Management,Ground Transportation,141.43,,
TR00320,EMP0011,ADMIN,2023-11-12,Asset Management,Air Transportation,234.44,,
TR00321,EMP0040,ADMIN,2024-02-23,Asset Movement,Ground Transportation,25.12,,
TR00322,EMP0119,PMO,2024-04-08,Asset Movement,Ground Transportation,75.91,,
TR00323,EMP0023,FIN,2024-01-15,Asset Movement,Air Transportation,593.3,,
TR00324,EMP0091,PMO,2024-01-24,Asset Management,Air Transportation,370.35,,
TR00325,EMP0111,TRANS,2024-06-24,Asset Movement,Mileage,58.36,87.1,58.36
TR00326,EMP0137,ADMIN,2024-03-04,Asset Movement,Ground Transportation,97.57,,
TR00327,EMP0106,FIN,2024-01-02,Asset Management,Mileage,171.65,256.2,171.65
TR00328,EMP0028,TRANS,2024-09-22,Asset Movement,Air Transportation,1189.82,,
TR00329,EMP0010,FIN,2024-08-19,Asset Management,Ground Transportation,79.76,,
TR00330,EMP0110,FIN,2024-09-14,Asset Management,Hotel/Lodging,265.83,,
TR00331,EMP0053,ADMIN,2024-05-29,Asset Movement,Mileage,273.69,408.5,273.69
TR00332,EMP0040,ADMIN,2023-10-24,Asset Management,Ground Transportation,40.59,,
TR00333,EMP0086,TRANS,2024-07-01,Asset Movement,Mileage,305.86,456.5,305.86
TR00334,EMP0102,PMO,2023-12-01,Asset Management,Ground Transportation,173.8,,
TR00335,EMP0006,OPS,2024-06-06,Asset Management,Air Transportation,365.44,,
TR00336,EMP0103,PMO,2024-02-19,Asset Management,Mileage,395.57,590.4,395.57
TR00337,EMP0142,FIN,2024-01-18,Asset Movement,Ground Transportation,24.48,,
TR00338,EMP0050,OPS,2024-09-22,Asset Movement,Hotel/Lodging,330.23,,
TR00339,EMP0011,ADMIN,2024-05-09,Asset Movement,Hotel/Lodging,251.43,,
TR00340,EMP0115,OPS,2023-12-03,Asset Management,Ground Transportation,130.05,,
TR00341,EMP0135,PMO,2024-06-08,Asset Movement,Air Transportation,686.99,,
TR00342,EMP0026,TRANS,2024-07-09,Asset Movement,Air Transportation,606.61,,
TR00343,EMP0150,LOG,2024-04-09,Asset Movement,Hotel/Lodging,215.32,,
TR00344,EMP0081,ADMIN,2024-01-13,Asset Movement,Ground Transportation,156.83,,
TR00345,EMP0042,FIN,2023-11-20,Asset Movement,Hotel/Lodging,193.5,,
TR00346,EMP0038,OPS,2024-01-12,Asset Movement,Air Transportation,605.14,,
TR00347,EMP0091,PMO,2023-10-04,Asset Movement,Mileage,158.39,236.4,158.39
TR00348,EMP0104,PMO,2024-07-02,Asset Management,Air Transportation,213.27,,
TR00349,EMP0015,LOG,2024-08-06,Asset Movement,Ground Transportation,145.6,,
TR00350,EMP0063,TRANS,2024-07-10,Asset Movement,Mileage,275.91,411.8,275.91
TR00351,EMP0113,LOG,2024-05-08,Asset Movement,Mileage,186.53,278.4,186.53
TR00352,EMP0093,FIN,2023-10-20,Asset Management,Ground Transportation,128.39,,
TR00353,EMP0088,LOG,2023-12-25,Asset Movement,Hotel/Lodging,211.82,,
TR00354,EMP0145,OPS,2024-04-05,Asset Management,Ground Transportation,117.6,,
TR00355,EMP0128,PMO,2024-07-28,Asset Movement,Ground Transportation,64.56,,
TR00356,EMP0056,PMO,2024-02-16,Asset Movement,Hotel/Lodging,348.22,,
TR00357,EMP0108,TRANS,2024-09-13,Asset Movement,Hotel/Lodging,146.94,,
TR00358,EMP0031,PMO,2023-10-11,Asset Management,Hotel/Lodging,161.44,,
TR00359,EMP0082,FIN,2024-09-12,Asset Management,Mileage,86.36,128.9,86.36
TR00360,EMP0069,OPS,2024-07-26,Asset Management,Ground Transportation,28.67,,
TR00361,EMP0006,OPS,2023-10-28,Asset Movement,Ground Transportation,107.01,,
TR00362,EMP0087,TRANS,2024-05-05,Asset Movement,Hotel/Lodging,264.34,,
TR00363,EMP0139,OPS,2024-03-11,Asset Movement,Air Transportation,572.6,,
TR00364,EMP0008,TRANS,2024-06-04,Asset Movement,Air Transportation,570.14,,
TR00365,EMP0029,FIN,2024-01-14,Asset Management,Air Transportation,635.21,,
TR00366,EMP0075,FIN,2024-08-20,Asset Movement,Air Transportation,465.03,,
TR00367,EMP0145,OPS,2024-07-23,Asset Movement,Mileage,253.73,378.7,253.73
TR00368,EMP0084,FIN,2023-11-12,Asset Management,Air Transportation,1004.73,,
TR00369,EMP0056,PMO,2024-09-16,Asset Movement,Air Transportation,862.42,,
TR00370,EMP0010,FIN,2023-11-30,Asset Management,Hotel/Lodging,171.6,,
TR00371,EMP0017,FIN,2023-11-27,Asset Management,Ground Transportation,27.43,,
TR00372,EMP0089,OPS,2024-01-17,Asset Movement,Mileage,95.54,142.6,95.54
TR00373,EMP0049,PMO,2024-04-18,Asset Movement,Ground Transportation,34.7,,
TR00374,EMP0105,FIN,2024-01-24,Asset Management,Ground Transportation,147.52,,
TR00375,EMP0070,LOG,2023-11-25,Asset Management,Air Transportation,1061.4,,
TR00376,EMP0022,TRANS,2024-08-20,Asset Management,Hotel/Lodging,278.53,,
TR00377,EMP0097,FIN,2024-03-28,Asset Management,Hotel/Lodging,221.18,,
TR00378,EMP0149,TRANS,2024-06-24,Asset Management,Ground Transportation,76.6,,
TR00379,EMP0049,PMO,2024-05-21,Asset Movement,Air Transportation,372.93,,
TR00380,EMP0038,OPS,2023-12-15,Asset Management,Air Transportation,867.6,,
TR00381,EMP0075,FIN,2024-04-23,Asset Movement,Air Transportation,1070.64,,
TR00382,EMP0123,PMO,2024-01-21,Asset Movement,Ground Transportation,51.92,,
TR00383,EMP0066,PMO,2024-03-09,Asset Movement,Hotel/Lodging,129.58,,
TR00384,EMP0010,FIN,2023-10-06,Asset Management,Mileage,346.12,516.6,346.12
TR00385,EMP0068,OPS,2023-10-24,Asset Movement,Mileage,18.36,27.4,18.36
TR00386,EMP0110,FIN,2024-04-30,Asset Management,Ground Transportation,96.14,,
TR00387,EMP0149,TRANS,2024-05-27,Asset Movement,Air Transportation,1002.24,,
TR00388,EMP0117,PMO,2023-11-04,Asset Management,Air Transportation,226.39,,
TR00389,EMP0136,OPS,2023-12-28,Asset Movement,Mileage,28.81,43.0,28.81
TR00390,EMP0129,FIN,2023-10-27,Asset Movement,Air Transportation,1028.98,,
TR00391,EMP0119,PMO,2024-08-22,Asset Movement,Mileage,182.78,272.8,182.78
TR00392,EMP0124,TRANS,2024-04-28,Asset Movement,Ground Transportation,62.61,,
TR00393,EMP0064,LOG,2024-07-05,Asset Management,Air Transportation,980.16,,
TR00394,EMP0130,LOG,2023-10-14,Asset Movement,Hotel/Lodging,251.12,,
TR00395,EMP0109,LOG,2023-12-18,Asset Movement,Hotel/Lodging,127.75,,
TR00396,EMP0073,ADMIN,2024-06-11,Asset Movement,Hotel/Lodging,334.53,,
TR00397,EMP0093,FIN,2024-02-25,Asset Movement,Hotel/Lodging,131.27,,
TR00398,EMP0019,FIN,2024-07-21,Asset Management,Hotel/Lodging,116.96,,
TR00399,EMP0041,FIN,2024-06-20,Asset Movement,Hotel/Lodging,143.95,,
TR00400,EMP0010,FIN,2023-12-25,Asset Management,Hotel/Lodging,251.27,,
TR00401,EMP0120,PMO,2024-06-13,Asset Movement,Ground Transportation,94.31,,
TR00402,EMP0138,ADMIN,2024-06-06,Asset Movement,Hotel/Lodging,161.43,,
TR00403,EMP0062,ADMIN,2024-07-18,Asset Management,Air Transportation,785.88,,
TR00404,EMP0101,TRANS,2023-11-10,Asset Movement,Mileage,62.51,93.3,62.51
TR00405,EMP0104,PMO,2024-03-24,Asset Management,Ground Transportation,176.79,,
TR00406,EMP0112,OPS,2024-03-31,Asset Movement,Hotel/Lodging,262.36,,
TR00407,EMP0136,OPS,2024-05-16,Asset Movement,Hotel/Lodging,266.08,,
TR00408,EMP0083,TRANS,2024-08-16,Asset Movement,Ground Transportation,71.73,,
TR00409,EMP0027,OPS,2024-09-28,Asset Management,Mileage,370.44,552.9,370.44
TR00410,EMP0079,FIN,2023-12-20,Asset Movement,Mileage,331.11,494.2,331.11
TR00411,EMP0108,TRANS,2023-12-27,Asset Movement,Mileage,32.5,48.5,32.5
TR00412,EMP0049,PMO,2024-09-14,Asset Management,Hotel/Lodging,143.62,,
TR00413,EMP0001,FIN,2024-05-13,Asset Management,Hotel/Lodging,203.5,,
TR00414,EMP0137,ADMIN,2024-08-24,Asset Management,Mileage,85.83,128.1,85.83
TR00415,EMP0002,OPS,2023-12-01,Asset Movement,Air Transportation,863.76,,
TR00416,EMP0089,OPS,2024-06-13,Asset Management,Mileage,269.27,401.9,269.27
TR00417,EMP0049,PMO,2024-04-01,Asset Management,Air Transportation,985.83,,
TR00418,EMP0086,TRANS,2024-01-06,Asset Management,Ground Transportation,125.08,,
TR00419,EMP0061,TRANS,2024-01-16,Asset Movement,Ground Transportation,116.9,,
TR00420,EMP0058,PMO,2024-05-15,Asset Movement,Air Transportation,312.18,,
TR00421,EMP0118,ADMIN,2024-07-20,Asset Management,Mileage,295.47,441.0,295.47
TR00422,EMP0007,PMO,2023-10-17,Asset Movement,Hotel/Lodging,102.09,,
TR00423,EMP0037,OPS,2024-09-07,Asset Movement,Mileage,292.79,437.0,292.79
TR00424,EMP0013,LOG,2024-03-16,Asset Management,Air Transportation,1093.31,,
TR00425,EMP0031,PMO,2024-04-19,Asset Management,Hotel/Lodging,208.36,,
TR00426,EMP0088,LOG,2024-06-19,Asset Movement,Air Transportation,481.33,,
TR00427,EMP0065,LOG,2024-08-05,Asset Management,Air Transportation,795.01,,
TR00428,EMP0066,PMO,2024-01-31,Asset Management,Hotel/Lodging,277.3,,
TR00429,EMP0125,LOG,2023-11-24,Asset Management,Air Transportation,1048.78,,
TR00430,EMP0148,ADMIN,2024-06-02,Asset Management,Ground Transportation,105.16,,
TR00431,EMP0075,FIN,2023-12-24,Asset Management,Air Transportation,594.57,,
TR00432,EMP0084,FIN,2024-05-13,Asset Movement,Air Transportation,731.33,,
TR00433,EMP0107,TRANS,2024-03-03,Asset Management,Hotel/Lodging,177.34,,
TR00434,EMP0116,PMO,2024-02-11,Asset Management,Mileage,195.1,291.2,195.1
TR00435,EMP0060,ADMIN,2024-01-10,Asset Management,Mileage,212.46,317.1,212.46
TR00436,EMP0026,TRANS,2024-08-01,Asset Movement,Air Transportation,1113.4,,
TR00437,EMP0074,TRANS,2024-01-06,Asset Management,Mileage,227.47,339.5,227.47
TR00438,EMP0134,TRANS,2024-06-12,Asset Movement,Air Transportation,1052.85,,
TR00439,EMP0006,OPS,2024-08-23,Asset Management,Mileage,259.22,386.9,259.22
TR00440,EMP0142,FIN,2024-08-04,Asset Movement,Air Transportation,362.13,,
TR00441,EMP0059,FIN,2024-04-15,Asset Management,Ground Transportation,129.52,,
TR00442,EMP0045,OPS,2023-10-03,Asset Management,Air Transportation,805.25,,
TR00443,EMP0022,TRANS,2024-03-28,Asset Movement,Air Transportation,449.31,,
TR00444,EMP0033,PMO,2024-01-13,Asset Movement,Ground Transportation,77.42,,
TR00445,EMP0055,OPS,2023-12-20,Asset Management,Hotel/Lodging,272.59,,
TR00446,EMP0057,ADMIN,2024-05-13,Asset Management,Ground Transportation,160.44,,
TR00447,EMP0070,LOG,2024-04-17,Asset Management,Mileage,51.79,77.3,51.79
TR00448,EMP0077,LOG,2024-05-26,Asset Movement,Mileage,399.92,596.9,399.92
TR00449,EMP0005,FIN,2023-12-21,Asset Management,Hotel/Lodging,219.31,,
TR00450,EMP0073,ADMIN,2024-05-22,Asset Movement,Hotel/Lodging,234.29,,
TR00451,EMP0079,FIN,2024-04-26,Asset Management,Hotel/Lodging,106.69,,
TR00452,EMP0145,OPS,2023-12-15,Asset Movement,Mileage,147.8,220.6,147.8
TR00453,EMP0044,OPS,2024-02-04,Asset Management,Mileage,299.09,446.4,299.09
TR00454,EMP0081,ADMIN,2024-05-21,Asset Movement,Mileage,248.84,371.4,248.84
TR00455,EMP0114,TRANS,2024-08-29,Asset Management,Mileage,226.26,337.7,226.26
TR00456,EMP0144,TRANS,2023-11-07,Asset Movement,Hotel/Lodging,153.98,,
TR00457,EMP0008,TRANS,2024-09-24,Asset Movement,Ground Transportation,24.26,,
TR00458,EMP0008,TRANS,2023-10-01,Asset Management,Air Transportation,585.62,,
TR00459,EMP0056,PMO,2024-03-19,Asset Movement,Ground Transportation,110.77,,
TR00460,EMP0033,PMO,2024-07-31,Asset Movement,Mileage,123.28,184.0,123.28
TR00461,EMP0039,OPS,2024-05-06,Asset Management,Air Transportation,832.52,,
TR00462,EMP0130,LOG,2024-03-01,Asset Management,Mileage,112.23,167.5,112.23
TR00463,EMP0051,TRANS,2024-08-15,Asset Movement,Mileage,78.12,116.6,78.12
TR00464,EMP0105,FIN,2024-06-22,Asset Management,Mileage,357.58,533.7,357.58
TR00465,EMP0019,FIN,2024-05-18,Asset Management,Hotel/Lodging,321.98,,
TR00466,EMP0091,PMO,2024-03-06,Asset Management,Ground Transportation,80.36,,
TR00467,EMP0015,LOG,2023-11-19,Asset Management,Air Transportation,1129.22,,
TR00468,EMP0011,ADMIN,2024-04-19,Asset Management,Air Transportation,521.2,,
TR00469,EMP0063,TRANS,2024-01-09,Asset Movement,Mileage,310.68,463.7,310.68
TR00470,EMP0065,LOG,2023-11-03,Asset Movement,Air Transportation,1116.8,,
TR00471,EMP0143,TRANS,2024-07-07,Asset Management,Hotel/Lodging,225.51,,
TR00472,EMP0004,ADMIN,2023-10-02,Asset Management,Air Transportation,408.32,,
TR00473,EMP0025,LOG,2024-07-19,Asset Management,Hotel/Lodging,338.39,,
TR00474,EMP0078,FIN,2024-09-23,Asset Movement,Air Transportation,857.86,,
TR00475,EMP0096,FIN,2024-03-10,Asset Management,Air Transportation,902.57,,
TR00476,EMP0093,FIN,2023-11-28,Asset Management,Ground Transportation,154.67,,
TR00477,EMP0125,LOG,2024-05-13,Asset Management,Hotel/Lodging,231.37,,
TR00478,EMP0142,FIN,2023-11-05,Asset Management,Air Transportation,260.22,,
TR00479,EMP0117,PMO,2024-01-18,Asset Management,Hotel/Lodging,271.91,,
TR00480,EMP0088,LOG,2024-08-15,Asset Management,Mileage,270.61,403.9,270.61
TR00481,EMP0121,ADMIN,2024-08-12,Asset Management,Air Transportation,721.13,,
TR00482,EMP0100,TRANS,2024-06-01,Asset Movement,Mileage,59.5,88.8,59.5
TR00483,EMP0075,FIN,2024-04-19,Asset Management,Hotel/Lodging,103.64,,
TR00484,EMP0109,LOG,2023-12-27,Asset Movement,Ground Transportation,75.24,,
TR00485,EMP0129,FIN,2024-04-10,Asset Movement,Ground Transportation,104.53,,
TR00486,EMP0074,TRANS,2023-12-03,Asset Management,Hotel/Lodging,89.52,,
TR00487,EMP0076,FIN,2024-03-07,Asset Movement,Mileage,114.44,170.8,114.44
TR00488,EMP0061,TRANS,2024-05-09,Asset Management,Air Transportation,630.51,,
TR00489,EMP0122,FIN,2023-10-13,Asset Movement,Air Transportation,477.0,,
TR00490,EMP0040,ADMIN,2023-11-15,Asset Management,Ground Transportation,35.25,,
TR00491,EMP0097,FIN,2024-03-04,Asset Movement,Air Transportation,459.44,,
TR00492,EMP0131,OPS,2024-01-21,Asset Management,Mileage,93.13,139.0,93.13
TR00493,EMP0024,ADMIN,2023-11-21,Asset Management,Ground Transportation,148.51,,
TR00494,EMP0100,TRANS,2024-03-15,Asset Movement,Mileage,203.55,303.8,203.55
TR00495,EMP0148,ADMIN,2023-11-28,Asset Movement,Mileage,164.75,245.9,164.75
TR00496,EMP0004,ADMIN,2023-10-30,Asset Management,Air Transportation,653.41,,
TR00497,EMP0142,FIN,2024-01-26,Asset Movement,Mileage,19.1,28.5,19.1
TR00498,EMP0036,LOG,2023-11-14,Asset Movement,Air Transportation,340.6,,
TR00499,EMP0025,LOG,2024-09-22,Asset Movement,Mileage,196.18,292.8,196.18
TR00500,EMP0108,TRANS,2024-03-17,Asset Management,Mileage,229.94,343.2,229.94
TR00501,EMP0023,FIN,2024-09-24,Asset Movement,Mileage,186.53,278.4,186.53
TR00502,EMP0132,OPS,2023-11-27,Asset Management,Ground Transportation,22.64,,
TR00503,EMP0040,ADMIN,2023-10-16,Asset Management,Ground Transportation,56.51,,
TR00504,EMP0015,LOG,2024-07-26,Asset Movement,Ground Transportation,145.97,,
TR00505,EMP0031,PMO,2024-03-04,Asset Management,Hotel/Lodging,216.57,,
TR00506,EMP0027,OPS,2024-05-14,Asset Movement,Hotel/Lodging,325.97,,
TR00507,EMP0083,TRANS,2024-03-31,Asset Management,Ground Transportation,150.53,,
TR00508,EMP0029,FIN,2023-12-20,Asset Movement,Air Transportation,712.55,,
TR00509,EMP0101,TRANS,2024-05-14,Asset Movement,Hotel/Lodging,105.33,,
TR00510,EMP0023,FIN,2023-11-10,Asset Movement,Hotel/Lodging,312.7,,
TR00511,EMP0025,LOG,2024-01-01,Asset Movement,Air Transportation,548.63,,
TR00512,EMP0146,PMO,2024-06-02,Asset Management,Mileage,249.51,372.4,249.51
TR00513,EMP0012,ADMIN,2023-11-29,Asset Movement,Ground Transportation,62.92,,
TR00514,EMP0114,TRANS,2023-12-17,Asset Management,Ground Transportation,17.9,,
TR00515,EMP0053,ADMIN,2024-07-10,Asset Management,Hotel/Lodging,232.83,,
TR00516,EMP0106,FIN,2024-02-17,Asset Movement,Ground Transportation,63.78,,
TR00517,EMP0120,PMO,2024-02-03,Asset Movement,Air Transportation,437.82,,
TR00518,EMP0090,OPS,2024-04-01,Asset Management,Air Transportation,1026.61,,
TR00519,EMP0030,ADMIN,2024-06-04,Asset Management,Ground Transportation,177.39,,
TR00520,EMP0086,TRANS,2023-12-31,Asset Movement,Mileage,18.76,28.0,18.76
TR00521,EMP0116,PMO,2024-01-18,Asset Management,Ground Transportation,128.66,,
TR00522,EMP0110,FIN,2024-04-30,Asset Movement,Air Transportation,655.18,,
TR00523,EMP0029,FIN,2024-07-22,Asset Management,Ground Transportation,70.09,,
TR00524,EMP0150,LOG,2024-06-29,Asset Management,Ground Transportation,128.64,,
TR00525,EMP0054,ADMIN,2024-09-19,Asset Movement,Ground Transportation,165.21,,
TR00526,EMP0033,PMO,2024-05-23,Asset Movement,Air Transportation,1041.46,,
TR00527,EMP0111,TRANS,2024-02-12,Asset Management,Ground Transportation,116.78,,
TR00528,EMP0150,LOG,2024-02-13,Asset Movement,Air Transportation,584.22,,
TR00529,EMP0041,FIN,2024-06-11,Asset Management,Air Transportation,993.25,,
TR00530,EMP0029,FIN,2023-12-11,Asset Management,Air Transportation,521.17,,
TR00531,EMP0103,PMO,2023-11-15,Asset Movement,Mileage,32.09,47.9,32.09
TR00532,EMP0068,OPS,2024-06-30,Asset Movement,Mileage,354.03,528.4,354.03
TR00533,EMP0026,TRANS,2024-03-05,Asset Management,Hotel/Lodging,230.01,,
TR00534,EMP0025,LOG,2024-06-13,Asset Movement,Air Transportation,1046.55,,
TR00535,EMP0121,ADMIN,2024-08-26,Asset Management,Ground Transportation,111.29,,
TR00536,EMP0099,LOG,2024-08-28,Asset Management,Air Transportation,969.75,,
TR00537,EMP0008,TRANS,2024-09-21,Asset Management,Ground Transportation,111.57,,
TR00538,EMP0039,OPS,2023-11-23,Asset Movement,Hotel/Lodging,210.35,,
TR00539,EMP0056,PMO,2024-06-22,Asset Management,Ground Transportation,88.29,,
TR00540,EMP0135,PMO,2023-10-25,Asset Management,Hotel/Lodging,218.41,,
TR00541,EMP0043,OPS,2024-04-13,Asset Management,Mileage,93.93,140.2,93.93
TR00542,EMP0119,PMO,2024-01-25,Asset Management,Hotel/Lodging,254.13,,
TR00543,EMP0047,FIN,2024-03-17,Asset Movement,Ground Transportation,112.67,,
TR00544,EMP0011,ADMIN,2023-12-10,Asset Movement,Hotel/Lodging,201.24,,
TR00545,EMP0113,LOG,2024-05-01,Asset Movement,Hotel/Lodging,220.33,,
TR00546,EMP0021,PMO,2023-11-12,Asset Management,Hotel/Lodging,206.05,,
TR00547,EMP0009,TRANS,2024-01-11,Asset Movement,Hotel/Lodging,174.21,,
TR00548,EMP0013,LOG,2023-12-18,Asset Management,Hotel/Lodging,325.07,,
TR00549,EMP0026,TRANS,2024-05-27,Asset Management,Ground Transportation,178.13,,
TR00550,EMP0055,OPS,2024-02-24,Asset Management,Air Transportation,189.17,,
TR00551,EMP0083,TRANS,2023-11-23,Asset Movement,Air Transportation,491.32,,
TR00552,EMP0120,PMO,2024-04-10,Asset Management,Hotel/Lodging,329.75,,
TR00553,EMP0002,OPS,2024-01-21,Asset Management,Air Transportation,994.14,,
TR00554,EMP0099,LOG,2024-07-01,Asset Movement,Air Transportation,909.75,,
TR00555,EMP0011,ADMIN,2024-03-07,Asset Management,Hotel/Lodging,248.92,,
TR00556,EMP0106,FIN,2024-08-14,Asset Management,Hotel/Lodging,292.9,,
TR00557,EMP0145,OPS,2023-10-29,Asset Movement,Air Transportation,1185.42,,
TR00558,EMP0115,OPS,2023-11-04,Asset Movement,Hotel/Lodging,261.54,,
TR00559,EMP0126,PMO,2024-07-15,Asset Management,Mileage,111.22,166.0,111.22
TR00560,EMP0059,FIN,2024-07-01,Asset Management,Hotel/Lodging,226.38,,
TR00561,EMP0083,TRANS,2023-12-29,Asset Movement,Mileage,152.09,227.0,152.09
TR00562,EMP0021,PMO,2024-04-09,Asset Movement,Ground Transportation,179.05,,
TR00563,EMP0012,ADMIN,2023-11-22,Asset Movement,Air Transportation,1006.26,,
TR00564,EMP0084,FIN,2024-03-14,Asset Movement,Ground Transportation,116.7,,
TR00565,EMP0134,TRANS,2024-03-27,Asset Management,Air Transportation,1177.52,,
TR00566,EMP0034,LOG,2024-02-29,Asset Management,Hotel/Lodging,160.12,,
TR00567,EMP0101,TRANS,2024-07-24,Asset Movement,Air Transportation,603.23,,
TR00568,EMP0077,LOG,2024-07-16,Asset Movement,Hotel/Lodging,227.48,,
TR00569,EMP0082,FIN,2024-01-10,Asset Management,Hotel/Lodging,254.97,,
TR00570,EMP0125,LOG,2024-07-27,Asset Management,Hotel/Lodging,222.77,,
TR00571,EMP0122,FIN,2023-12-30,Asset Management,Air Transportation,1009.0,,
TR00572,EMP0094,PMO,2024-04-02,Asset Movement,Hotel/Lodging,225.7,,
TR00573,EMP0037,OPS,2023-11-30,Asset Movement,Ground Transportation,42.09,,
TR00574,EMP0019,FIN,2024-02-01,Asset Movement,Air Transportation,1115.26,,
TR00575,EMP0019,FIN,2023-11-16,Asset Management,Air Transportation,399.02,,
TR00576,EMP0034,LOG,2024-08-12,Asset Management,Hotel/Lodging,200.42,,
TR00577,EMP0124,TRANS,2023-12-12,Asset Movement,Mileage,261.77,390.7,261.77
TR00578,EMP0002,OPS,2024-05-15,Asset Movement,Hotel/Lodging,190.25,,
TR00579,EMP0061,TRANS,2024-09-04,Asset Management,Hotel/Lodging,287.45,,
TR00580,EMP0033,PMO,2024-07-24,Asset Movement,Mileage,166.29,248.2,166.29
TR00581,EMP0149,TRANS,2024-01-20,Asset Movement,Mileage,56.82,84.8,56.82
TR00582,EMP0089,OPS,2023-10-25,Asset Movement,Air Transportation,587.01,,
TR00583,EMP0011,ADMIN,2024-09-20,Asset Management,Ground Transportation,51.45,,
TR00584,EMP0071,PMO,2024-08-11,Asset Management,Mileage,303.44,452.9,303.44
TR00585,EMP0141,OPS,2023-11-28,Asset Movement,Air Transportation,863.56,,
TR00586,EMP0064,LOG,2024-06-30,Asset Movement,Air Transportation,229.57,,
TR00587,EMP0099,LOG,2024-08-05,Asset Movement,Hotel/Lodging,98.02,,
TR00588,EMP0027,OPS,2024-02-11,Asset Management,Hotel/Lodging,198.94,,
TR00589,EMP0111,TRANS,2023-10-16,Asset Management,Hotel/Lodging,310.25,,
TR00590,EMP0060,ADMIN,2024-01-30,Asset Management,Air Transportation,906.59,,
TR00591,EMP0110,FIN,2024-05-19,Asset Management,Hotel/Lodging,102.5,,
TR00592,EMP0124,TRANS,2024-01-03,Asset Management,Air Transportation,241.82,,
TR00593,EMP0130,LOG,2023-11-27,Asset Movement,Air Transportation,500.37,,
TR00594,EMP0126,PMO,2024-01-07,Asset Movement,Hotel/Lodging,254.25,,
TR00595,EMP0060,ADMIN,2024-09-02,Asset Movement,Ground Transportation,177.56,,
TR00596,EMP0077,LOG,2024-06-12,Asset Movement,Hotel/Lodging,274.63,,
TR00597,EMP0092,FIN,2024-06-26,Asset Management,Hotel/Lodging,279.1,,
TR00598,EMP0087,TRANS,2024-07-22,Asset Movement,Ground Transportation,163.98,,
TR00599,EMP0132,OPS,2024-07-08,Asset Management,Mileage,214.6,320.3,214.6
TR00600,EMP0101,TRANS,2024-07-21,Asset Management,Air Transportation,1019.54,,
TR00601,EMP0118,ADMIN,2023-12-08,Asset Movement,Ground Transportation,46.57,,
TR00602,EMP0118,ADMIN,2024-09-03,Asset Movement,Mileage,201.07,300.1,201.07
TR00603,EMP0047,FIN,2024-06-19,Asset Management,Hotel/Lodging,234.56,,
TR00604,EMP0050,OPS,2024-09-18,Asset Management,Mileage,294.93,440.2,294.93
TR00605,EMP0123,PMO,2024-08-15,Asset Movement,Mileage,358.79,535.5,358.79
TR00606,EMP0053,ADMIN,2023-11-30,Asset Movement,Ground Transportation,53.21,,
TR00607,EMP0126,PMO,2023-11-23,Asset Movement,Air Transportation,517.44,,
TR00608,EMP0068,OPS,2024-01-28,Asset Movement,Ground Transportation,117.44,,
TR00609,EMP0058,PMO,2024-01-15,Asset Movement,Mileage,324.41,484.2,324.41
TR00610,EMP0026,TRANS,2024-03-05,Asset Management,Ground Transportation,83.72,,
TR00611,EMP0055,OPS,2024-06-10,Asset Movement,Ground Transportation,96.22,,
TR00612,EMP0128,PMO,2024-04-21,Asset Management,Air Transportation,570.24,,
TR00613,EMP0039,OPS,2024-05-23,Asset Movement,Ground Transportation,72.71,,
TR00614,EMP0103,PMO,2024-01-01,Asset Management,Mileage,84.89,126.7,84.89
TR00615,EMP0034,LOG,2023-10-26,Asset Movement,Air Transportation,447.13,,
TR00616,EMP0036,LOG,2023-12-13,Asset Movement,Mileage,415.06,619.5,415.06
TR00617,EMP0150,LOG,2024-08-26,Asset Movement,Mileage,143.11,213.6,143.11
TR00618,EMP0007,PMO,2024-07-10,Asset Movement,Hotel/Lodging,210.21,,
TR00619,EMP0012,ADMIN,2024-09-23,Asset Movement,Air Transportation,444.93,,
TR00620,EMP0003,OPS,2023-10-24,Asset Management,Mileage,282.81,422.1,282.81
TR00621,EMP0082,FIN,2024-07-09,Asset Movement,Hotel/Lodging,133.66,,
TR00622,EMP0095,FIN,2023-10-17,Asset Movement,Air Transportation,730.24,,
TR00623,EMP0012,ADMIN,2024-08-01,Asset Movement,Ground Transportation,57.57,,
TR00624,EMP0109,LOG,2024-05-20,Asset Management,Ground Transportation,119.57,,
TR00625,EMP0139,OPS,2024-02-21,Asset Management,Air Transportation,1192.18,,
TR00626,EMP0014,PMO,2024-05-17,Asset Movement,Mileage,192.22,286.9,192.22
TR00627,EMP0097,FIN,2024-05-05,Asset Movement,Mileage,310.61,463.6,310.61
TR00628,EMP0037,OPS,2024-08-17,Asset Management,Air Transportation,414.73,,
TR00629,EMP0082,FIN,2023-11-16,Asset Movement,Ground Transportation,142.31,,
TR00630,EMP0040,ADMIN,2024-06-16,Asset Management,Hotel/Lodging,267.1,,
TR00631,EMP0072,OPS,2024-04-04,Asset Movement,Air Transportation,222.48,,
TR00632,EMP0120,PMO,2024-06-04,Asset Movement,Air Transportation,1185.46,,
TR00633,EMP0054,ADMIN,2023-12-21,Asset Movement,Ground Transportation,71.52,,
